ckc_id	claim_level_firewall	cynk_meyer_id	cynk_meyer_table_present	entity_level	equation_type	euler	explicit_nodal_conifold_link_present	h11	h12	hodge_table_present	hodgecy_universe_id	identity_resolution_status	local_inventory	operator_fibration_arithmetic_link_present	parameter_names	relationship_graph_hits_repo_local	source_assembly_present	source_extraction_status
11	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	11	YES	PARAMETERIZED_FAMILY	parameterized_family	120	NO	61	1	YES	ckc:11	presentation_level_only_geometry_identity_unresolved	p3=9;p4_0=1;p4_1=5;p5_0=0;p5_1=1;p5_2=2;l3=3	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
12	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	12	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	51	3	YES	ckc:12	presentation_level_only_geometry_identity_unresolved	p3=12;p4_0=0;p4_1=11;p5_0=0;p5_1=0;p5_2=1;l3=3	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
13	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	13	YES	PARAMETERIZED_FAMILY	parameterized_family	108	NO	56	2	YES	ckc:13	presentation_level_only_geometry_identity_unresolved	p3=9;p4_0=0;p4_1=9;p5_0=0;p5_1=1;p5_2=1;l3=3	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
14	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	14	YES	PARAMETERIZED_FAMILY	parameterized_family	120	NO	61	1	YES	ckc:14	presentation_level_only_geometry_identity_unresolved	p3=6;p4_0=0;p4_1=7;p5_0=0;p5_1=2;p5_2=1;l3=3	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
15	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	15	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	51	3	YES	ckc:15	presentation_level_only_geometry_identity_unresolved	p3=18;p4_0=0;p4_1=6;p5_0=1;p5_1=0;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
16	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	16	YES	PARAMETERIZED_FAMILY	parameterized_family	104	NO	55	3	YES	ckc:16	presentation_level_only_geometry_identity_unresolved	p3=22;p4_0=0;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
17	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	17	YES	PARAMETERIZED_FAMILY	parameterized_family	108	NO	56	2	YES	ckc:17	presentation_level_only_geometry_identity_unresolved	p3=18;p4_0=1;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
18	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	18	YES	PARAMETERIZED_FAMILY	parameterized_family	112	NO	57	1	YES	ckc:18	presentation_level_only_geometry_identity_unresolved	p3=14;p4_0=2;p4_1=2;p5_0=0;p5_1=2;p5_2=1;l3=2	YES	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
19	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	19	YES	PRESENTATION	fixed_rational	92	NO	50	4	YES	ckc:19	presentation_level_only_geometry_identity_unresolved	p3=25;p4_0=0;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2	NO	[]	PRODUCTION_ROOT_NOT_AVAILABLE	YES	eight_plane_equation_or_family_available
20	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	20	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	51	3	YES	ckc:20	presentation_level_only_geometry_identity_unresolved	p3=21;p4_0=1;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
21	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	21	YES	PARAMETERIZED_FAMILY	parameterized_family	100	NO	52	2	YES	ckc:21	presentation_level_only_geometry_identity_unresolved	p3=17;p4_0=2;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
22	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	22	YES	PARAMETERIZED_FAMILY	parameterized_family	104	NO	53	1	YES	ckc:22	presentation_level_only_geometry_identity_unresolved	p3=13;p4_0=3;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
23	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	23	YES	PARAMETERIZED_FAMILY	parameterized_family	108	NO	54	0	YES	ckc:23	presentation_level_only_geometry_identity_unresolved	p3=9;p4_0=4;p4_1=4;p5_0=0;p5_1=1;p5_2=1;l3=2	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
24	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	24	YES	PARAMETERIZED_FAMILY	parameterized_family	80	NO	45	5	YES	ckc:24	presentation_level_only_geometry_identity_unresolved	p3=28;p4_0=0;p4_1=6;p5_0=0;p5_1=0;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
25	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	25	YES	PARAMETERIZED_FAMILY	parameterized_family	84	NO	46	4	YES	ckc:25	presentation_level_only_geometry_identity_unresolved	p3=24;p4_0=1;p4_1=6;p5_0=0;p5_1=0;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
26	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	26	YES	PARAMETERIZED_FAMILY	parameterized_family	88	NO	47	3	YES	ckc:26	presentation_level_only_geometry_identity_unresolved	p3=20;p4_0=2;p4_1=6;p5_0=0;p5_1=0;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
27	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	27	YES	PARAMETERIZED_FAMILY	parameterized_family	92	NO	48	2	YES	ckc:27	presentation_level_only_geometry_identity_unresolved	p3=16;p4_0=3;p4_1=6;p5_0=0;p5_1=0;p5_2=1;l3=2	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
28	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	28	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	49	1	YES	ckc:28	presentation_level_only_geometry_identity_unresolved	p3=12;p4_0=4;p4_1=6;p5_0=0;p5_1=0;p5_2=1;l3=2	YES	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
29	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	29	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	51	3	YES	ckc:29	presentation_level_only_geometry_identity_unresolved	p3=18;p4_0=0;p4_1=6;p5_0=0;p5_1=2;p5_2=0;l3=2	NO	"[""A0"",""A1"",""A2"",""A3"",""A4""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
30	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	30	YES	PARAMETERIZED_FAMILY	parameterized_family	100	NO	52	2	YES	ckc:30	presentation_level_only_geometry_identity_unresolved	p3=14;p4_0=1;p4_1=6;p5_0=0;p5_1=2;p5_2=0;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
31	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	31	YES	PARAMETERIZED_FAMILY	parameterized_family	104	NO	53	1	YES	ckc:31	presentation_level_only_geometry_identity_unresolved	p3=10;p4_0=2;p4_1=6;p5_0=0;p5_1=2;p5_2=0;l3=2	YES	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
32	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	32	YES	PRESENTATION	fixed_rational	84	NO	46	4	YES	ckc:32	presentation_level_only_geometry_identity_unresolved	p3=21;p4_0=0;p4_1=8;p5_0=0;p5_1=1;p5_2=0;l3=2	NO	[]	PRODUCTION_ROOT_NOT_AVAILABLE	YES	eight_plane_equation_or_family_available
33	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	33	YES	PARAMETERIZED_FAMILY	parameterized_family	88	NO	47	3	YES	ckc:33	presentation_level_only_geometry_identity_unresolved	p3=17;p4_0=1;p4_1=8;p5_0=0;p5_1=1;p5_2=0;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
34	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	34	YES	PARAMETERIZED_FAMILY	parameterized_family	92	NO	48	2	YES	ckc:34	presentation_level_only_geometry_identity_unresolved	p3=13;p4_0=2;p4_1=8;p5_0=0;p5_1=1;p5_2=0;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
35	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	35	YES	PARAMETERIZED_FAMILY	parameterized_family	72	NO	41	5	YES	ckc:35	presentation_level_only_geometry_identity_unresolved	p3=24;p4_0=0;p4_1=10;p5_0=0;p5_1=0;p5_2=0;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
36	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	36	YES	PARAMETERIZED_FAMILY	parameterized_family	76	NO	42	4	YES	ckc:36	presentation_level_only_geometry_identity_unresolved	p3=20;p4_0=1;p4_1=10;p5_0=0;p5_1=0;p5_2=0;l3=2	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
37	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	37	YES	PARAMETERIZED_FAMILY	parameterized_family	80	NO	43	3	YES	ckc:37	presentation_level_only_geometry_identity_unresolved	p3=16;p4_0=2;p4_1=10;p5_0=0;p5_1=0;p5_2=0;l3=2	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
38	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	38	YES	PARAMETERIZED_FAMILY	parameterized_family	80	NO	45	5	YES	ckc:38	presentation_level_only_geometry_identity_unresolved	p3=34;p4_0=0;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
39	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	39	YES	PARAMETERIZED_FAMILY	parameterized_family	84	NO	46	4	YES	ckc:39	presentation_level_only_geometry_identity_unresolved	p3=30;p4_0=1;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
40	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	40	YES	PARAMETERIZED_FAMILY	parameterized_family	88	NO	47	3	YES	ckc:40	presentation_level_only_geometry_identity_unresolved	p3=26;p4_0=2;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
41	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	41	YES	PARAMETERIZED_FAMILY	parameterized_family	92	NO	48	2	YES	ckc:41	presentation_level_only_geometry_identity_unresolved	p3=22;p4_0=3;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
42	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	42	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	49	1	YES	ckc:42	presentation_level_only_geometry_identity_unresolved	p3=18;p4_0=4;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
43	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	43	YES	PARAMETERIZED_FAMILY	parameterized_family	100	NO	50	0	YES	ckc:43	presentation_level_only_geometry_identity_unresolved	p3=14;p4_0=5;p4_1=1;p5_0=0;p5_1=2;p5_2=0;l3=1	YES	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
44	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	44	YES	PARAMETERIZED_FAMILY	parameterized_family	96	NO	51	3	YES	ckc:44	presentation_level_only_geometry_identity_unresolved	p3=32;p4_0=0;p4_1=1;p5_0=1;p5_1=2;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
45	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	45	YES	PARAMETERIZED_FAMILY	parameterized_family	84	NO	46	4	YES	ckc:45	presentation_level_only_geometry_identity_unresolved	p3=27;p4_0=0;p4_1=3;p5_0=1;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
46	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	46	YES	PARAMETERIZED_FAMILY	parameterized_family	88	NO	47	3	YES	ckc:46	presentation_level_only_geometry_identity_unresolved	p3=23;p4_0=1;p4_1=3;p5_0=1;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
47	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	47	YES	PARAMETERIZED_FAMILY	parameterized_family	92	NO	48	2	YES	ckc:47	presentation_level_only_geometry_identity_unresolved	p3=19;p4_0=2;p4_1=3;p5_0=1;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
48	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	48	YES	PARAMETERIZED_FAMILY	parameterized_family	56	NO	35	7	YES	ckc:48	presentation_level_only_geometry_identity_unresolved	p3=40;p4_0=0;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3"",""A4""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
49	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	49	YES	PARAMETERIZED_FAMILY	parameterized_family	60	NO	36	6	YES	ckc:49	presentation_level_only_geometry_identity_unresolved	p3=36;p4_0=1;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3"",""A4""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
50	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	50	YES	PARAMETERIZED_FAMILY	parameterized_family	64	NO	37	5	YES	ckc:50	presentation_level_only_geometry_identity_unresolved	p3=32;p4_0=2;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3"",""A4""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
51	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	51	YES	PARAMETERIZED_FAMILY	parameterized_family	68	NO	38	4	YES	ckc:51	presentation_level_only_geometry_identity_unresolved	p3=28;p4_0=3;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3"",""A4"",""A5""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
52	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	52	YES	PARAMETERIZED_FAMILY	parameterized_family	72	NO	39	3	YES	ckc:52	presentation_level_only_geometry_identity_unresolved	p3=24;p4_0=4;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
53	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	53	YES	PARAMETERIZED_FAMILY	parameterized_family	76	NO	40	2	YES	ckc:53	presentation_level_only_geometry_identity_unresolved	p3=20;p4_0=5;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	NO	"[""A0"",""A1""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
54	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	54	YES	PARAMETERIZED_FAMILY	parameterized_family	80	NO	41	1	YES	ckc:54	presentation_level_only_geometry_identity_unresolved	p3=16;p4_0=6;p4_1=5;p5_0=0;p5_1=0;p5_2=0;l3=1	YES	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
55	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	55	YES	PARAMETERIZED_FAMILY	parameterized_family	68	NO	40	6	YES	ckc:55	presentation_level_only_geometry_identity_unresolved	p3=37;p4_0=0;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
56	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	56	YES	PARAMETERIZED_FAMILY	parameterized_family	72	NO	41	5	YES	ckc:56	presentation_level_only_geometry_identity_unresolved	p3=33;p4_0=1;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
57	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	57	YES	PARAMETERIZED_FAMILY	parameterized_family	76	NO	42	4	YES	ckc:57	presentation_level_only_geometry_identity_unresolved	p3=29;p4_0=2;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
58	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	58	YES	PARAMETERIZED_FAMILY	parameterized_family	80	NO	43	3	YES	ckc:58	presentation_level_only_geometry_identity_unresolved	p3=25;p4_0=3;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
59	SOURCE_LEVEL_ONLY_UNLESS_NODE_COLUMNS_EXPLICITLY_CERTIFIED	59	YES	PARAMETERIZED_FAMILY	parameterized_family	84	NO	44	2	YES	ckc:59	presentation_level_only_geometry_identity_unresolved	p3=21;p4_0=4;p4_1=3;p5_0=0;p5_1=1;p5_2=0;l3=1	NO	"[""A0"",""A1"",""A2"",""A3""]"	PRODUCTION_ROOT_NOT_AVAILABLE	NO	eight_plane_equation_or_family_available
