dataset_id	human_readable_dataset	data_family	storage_completion_class	headline_record_count	nested_enrichment_count	relationship_count	source_status	short_provenance
partialflagvarieties_grassmannian_cy3_table1	PartialFlagVarieties Grassmannian CY3 Table 1	grassmannian_homogeneous	COMPLETE_NORMALIZED	31			COMPLETE_COLUMNAR	Inoue-Ito-Miura; arXiv:1607.07821 | https://github.com/HomogeneousTools/PartialFlagVarieties.jl
partialflagvarieties_jl	PartialFlagVarieties.jl	grassmannian_homogeneous	CODE_RESOURCE				COMPUTABLE_NOT_PREENUMERATED	https://github.com/HomogeneousTools/PartialFlagVarieties.jl | https://github.com/HomogeneousTools/PartialFlagVarieties.jl
pfaffian_determinantal_cy_source_registry	Pfaffian/determinantal Calabi-Yau source registry	pfaffian_determinantal	SOURCE_REGISTRY_ONLY				SOURCE_REGISTRY_ONLY	Pfaffian/determinantal Calabi-Yau source registry | https://arxiv.org/abs/1006.0223
picard_fuchs_cyo	Picard Fuchs Cyo	picard_fuchs	COMPLETE_REMOTE	613			COMPLETE_LOCAL	
picard_fuchs_cyo_topological	Calabi-Yau operator topological data	picard_fuchs	COMPLETE_NORMALIZED	1197			COMPLETE_LOCAL	
thraxion_conifold_transition	Thraxion Conifold Transition	thraxion_conifold_transition	PARTIAL_PUBLIC_CORPUS				COMPLETE_NATIVE	
toric_ci_nef_partitions	Toric Ci Nef Partitions	toric_hypersurface	COMPUTABLE_NOT_PREENUMERATED				COMPUTABLE_NOT_PREENUMERATED	
toric_ks_fibrations_abbasi_nally_taylor_2026	Toric/KS Fibrations from Zenodo 18500236	toric_hypersurface	COMPLETE_REMOTE	5			COMPLETE_REMOTE	Abbasi, Nally, Taylor; arXiv:2511.10601 / Zenodo 18500236 | https://zenodo.org/records/18500236
toric_orientifold_enrichment	Toric Orientifold Enrichment	toric_hypersurface	COMPLETE_REMOTE				COMPLETE_REMOTE	
toriccy_database	ToricCY database/package/query service	toric_hypersurface	COMPLETE_REMOTE_NATIVE_LAZY		7		COMPLETE_REMOTE_NATIVE_LAZY	ToricCY database/package/query service | https://www.rossealtman.com/toriccy
twoparameterk3_code_resource	TwoParameterK3 Code and Notebook Resource	k3_fibered	CODE_RESOURCE				COMPUTABLE_NOT_PREENUMERATED	https://github.com/bpioline/TwoParameterK3 | https://github.com/bpioline/TwoParameterK3
twoparameterk3_models	TwoParameterK3 Model and Operator Source Headers	k3_fibered	COMPLETE_NORMALIZED	39			COMPLETE_COLUMNAR	Doran-Pioline-Schimannek; arXiv:2408.02994 | https://github.com/bpioline/TwoParameterK3
wave2_source_relationships	Wave 2 Source Relationships	source_relationships	COMPLETE_COLUMNAR				COMPLETE_COLUMNAR	
wave3_source_relationships	Wave 3 Source and Resource Relationships	source_registry	COMPLETE_RELATIONSHIP				COMPLETE_COLUMNAR	HodgeCY Wave 3 permanent ingest
wave4_source_relationships	Wave 4 source relationships	relationships	COMPLETE_RELATIONSHIP			65714	COMPLETE_COLUMNAR	Wave 4 source relationships
weighted_p4	Weighted-P4 CY hypersurfaces	weighted_p4	COMPLETE_NORMALIZED	2781			COMPLETE_LOCAL	
